method,selection_policy,rank_preserving,validation_ece,validation_ece_improvement_vs_raw,validation_roc_auc,validation_auc_drop_vs_raw,test_ece,test_mce,test_overconfidence_ratio,test_sharpness,test_brier_score,test_nll,test_roc_auc
isotonic_regression,ranking_preserving_temperature_primary,False,0.002290076967186602,0.01947445978437838,0.9974769113586595,-0.0005427020851185294,0.14905293750463242,0.7964663505554199,1.0,0.9167506098747253,0.13532674755051496,1.6035020983777903,0.867965154503616
platt_scaling,ranking_preserving_temperature_primary,True,0.009702336920161505,0.012062199831403476,0.9969342092735409,0.0,0.1508975401811412,0.6956847406835271,1.0,0.9055817000045636,0.13359782424226055,0.6352362152971687,0.9605413105413105
raw_uncalibrated,ranking_preserving_temperature_primary,True,0.02176453675156498,0.0,0.9969342092735409,0.0,0.11427143589044599,0.544596210769985,1.0,0.8947415351867676,0.10730240263181919,0.43918512109318697,0.9605413105413105
temperature_scaling,ranking_preserving_temperature_primary,True,0.022728141998654073,-0.0009636052470890916,0.9969342092735409,0.0,0.11432769613817326,0.6103765126016283,1.0,0.9033728610591928,0.10869918744656519,0.4661434159211795,0.9605413105413105
