variant,unsafe_low_action_pneumonia_cases,false_negative_rate_among_pneumonia,policy_entropy,effective_number_of_actions,n_actions_used,mean_probability
full_mcds,2,0.005128205128205128,1.1467302278122555,3.1478832027321095,4,0.7057903667738383
no_safety_barrier,2,0.005128205128205128,1.1467302278122555,3.1478832027321095,4,0.7057903667738383
no_feasibility_gate,2,0.005128205128205128,1.1483574984814795,3.153009830812532,4,0.7057903667738383
no_profile_distance,2,0.005128205128205128,0.938638148916295,2.556497477703068,3,0.7057903667738383
no_confidence_reward,2,0.005128205128205128,1.1525473170067233,3.166248083383888,4,0.7057903667738383
plain_threshold_classifier,5,0.01282051282051282,0.5918602492872281,1.8073474068738613,2,0.7057903667738383
