variant,unsafe_low_action_pneumonia_cases,false_negative_rate_among_pneumonia,policy_entropy,effective_number_of_actions,n_actions_used,mean_probability
external_full_mcds,1,0.002564102564102564,1.2017946405514934,3.3260806890095442,4,0.6522085872010494
external_no_safety_barrier,1,0.002564102564102564,1.2017946405514934,3.3260806890095442,4,0.6522085872010494
external_no_feasibility_gate,1,0.002564102564102564,1.22848134139455,3.416037799848598,4,0.6522085872010494
external_no_profile_distance,1,0.002564102564102564,0.866215678207875,2.377895084810069,3,0.6522085872010494
external_no_confidence_reward,1,0.002564102564102564,1.210813485159981,3.3562137724468633,4,0.6522085872010494
external_plain_threshold_classifier,1,0.002564102564102564,0.10126481756679193,1.1065696420459927,2,0.6522085872010494
