uncertainty_quartile,n_cases,mean_entropy,mean_mc_std,nll,brier_score,balanced_accuracy,false_negatives,false_positives
Q1_lowest_uncertainty,156,0.003967398013463841,0.0007970509746793222,0.046539765245903135,0.006400969099352508,0.875,0,1
Q2,156,0.03758143691643681,0.0075480521503622795,0.18855938444604425,0.03183912148704564,0.9375,0,5
Q3,156,0.2380247568997921,0.054354105197647974,0.4137691145454133,0.11112520012661427,0.8782051282051282,2,17
Q4_highest_uncertainty,156,0.7708419640864597,0.187602060346874,0.5441440561757829,0.18100850248570347,0.7784090909090908,3,42
